Wall time         ,Step,Value
1510684772.8788273,5   ,2.236604690551758
1510684774.678586 ,6   ,2.2252461910247803
1510684781.8592718,10  ,2.173164129257202
1510684783.688278 ,11  ,2.1575400829315186
1510684787.3571033,13  ,2.1216068267822266
1510684789.16181  ,14  ,2.1007473468780518
1510684790.9910517,15  ,2.0775578022003174
1510684794.642018 ,17  ,2.0226242542266846
1510684796.462229 ,18  ,1.990064024925232
1510684798.298312 ,19  ,1.953629732131958
1510684800.1297927,20  ,1.9128906726837158
1510684807.4796972,24  ,1.7018425464630127
1510684823.8452306,33  ,1.0769550800323486
1510684825.6396701,34  ,1.01902437210083
1510684829.3168285,36  ,0.9173763394355774
1510684834.8240824,39  ,0.7970897555351257
1510684836.6614902,40  ,0.7642524242401123
1510684840.3505485,42  ,0.7074138522148132
1510684843.9594786,44  ,0.660393476486206
1510684845.751686 ,45  ,0.639901876449585
1510684849.3712435,47  ,0.603879988193512
1510684852.9848447,49  ,0.5733047723770142
1510684854.7872262,50  ,0.5597079992294312
1510684860.250683 ,53  ,0.524398922920227
1510684862.0821352,54  ,0.514142632484436
1510684863.881757 ,55  ,0.5045108199119568
1510684865.6905231,56  ,0.49544861912727356
1510684867.5299563,57  ,0.48691490292549133
1510684873.0500834,60  ,0.4640563130378723
1510684874.8883395,61  ,0.45722275972366333
1510684878.5538893,63  ,0.44457149505615234
1510684882.2330487,65  ,0.4331093728542328
1510684884.0734043,66  ,0.42777130007743835
1510684885.918582 ,67  ,0.4226674735546112
1510684887.7666237,68  ,0.41777777671813965
1510684893.1909943,71  ,0.4042542576789856
1510684895.0247757,72  ,0.40009528398513794
1510684896.854011 ,73  ,0.39608854055404663
1510684898.66492  ,74  ,0.39222750067710876
1510684902.3345714,76  ,0.38491326570510864
1510684907.8755727,79  ,0.37482303380966187
1510684917.0932865,84  ,0.3600371181964874
1510684918.944833 ,85  ,0.35736382007598877
1510684920.7880414,86  ,0.3547889292240143
1510684922.6239107,87  ,0.35230088233947754
1510684924.457708 ,88  ,0.34989112615585327
1510684926.2977407,89  ,0.34754884243011475
1510684935.5033057,94  ,0.3367798626422882
1510684950.0278394,102 ,0.3219852149486542
1510684955.4197173,105 ,0.31704702973365784
1510684957.2208352,106 ,0.315463662147522
1510684970.0340018,113 ,0.30513763427734375
1510684975.5667922,116 ,0.30106881260871887
1510684979.2048256,118 ,0.2984718680381775
1510684981.0387692,119 ,0.29720374941825867
1510684982.881004 ,120 ,0.29595550894737244
1510684990.256292 ,124 ,0.291166216135025
1510684992.0902636,125 ,0.29001402854919434
1510684993.9222972,126 ,0.2888796329498291
1510684999.440882 ,129 ,0.2855784296989441
1510685001.2759216,130 ,0.28450658917427063
1510685006.8083603,133 ,0.28138819336891174
1510685014.1333368,137 ,0.27745065093040466
1510685017.7364972,139 ,0.2755562365055084
1510685021.3409078,141 ,0.27370381355285645
1510685023.1410434,142 ,0.2727963924407959
1510685024.9442148,143 ,0.27190160751342773
1510685026.7899287,144 ,0.2710134983062744
1510685034.0284321,148 ,0.2675732374191284
1510685037.6716752,150 ,0.26591119170188904
1510685043.0853589,153 ,0.26349037885665894
1510685044.903534 ,154 ,0.2626994550228119
1510685046.7202759,155 ,0.26191744208335876
1510685050.3959308,157 ,0.2603701949119568
1510685052.2374516,158 ,0.25960734486579895
1510685054.0845115,159 ,0.2588537633419037
1510685059.60407  ,162 ,0.2566279172897339
1510685063.2772338,164 ,0.2551749646663666
1510685065.1178982,165 ,0.254457950592041
1510685068.7508638,167 ,0.2530479431152344
1510685070.5506413,168 ,0.25235071778297424
1510685075.963162 ,171 ,0.250285267829895
1510685085.087495 ,176 ,0.2469424307346344
1510685086.9255881,177 ,0.2462863326072693
1510685088.764069 ,178 ,0.24563872814178467
1510685092.442531 ,180 ,0.24435463547706604
1510685094.2717054,181 ,0.2437180131673813
1510685097.8821044,183 ,0.24245859682559967
1510685101.5534115,185 ,0.24121621251106262
1510685103.3959181,186 ,0.24060273170471191
1510685105.2397985,187 ,0.2399945855140686
1510685107.0809615,188 ,0.23939009010791779
1510685110.7408044,190 ,0.23819318413734436
1510685112.548088 ,191 ,0.23760178685188293
1510685125.2361388,198 ,0.23354187607765198
1510685132.502793 ,202 ,0.23128728568553925
1510685139.864269 ,206 ,0.22909171879291534
1510685141.6835234,207 ,0.22855307161808014
1510685143.4929364,208 ,0.2280154973268509
1510685150.7046244,212 ,0.22588452696800232
1510685156.1293974,215 ,0.2243165522813797
1510685161.6469412,218 ,0.22277942299842834
1510685163.489252 ,219 ,0.22227443754673004
1510685168.9682274,222 ,0.22077704966068268
1510685170.8089044,223 ,0.22028203308582306
1510685174.4853983,225 ,0.21930049359798431
1510685176.324395 ,226 ,0.2188103199005127
1510685178.1664057,227 ,0.21832382678985596
1510685181.8509731,229 ,0.21735888719558716
1510685183.6969595,230 ,0.21688097715377808
1510685187.451343 ,232 ,0.21593032777309418
1510685189.3168259,233 ,0.21545757353305817
1510685191.1400604,234 ,0.2149893045425415
1510685196.52291  ,237 ,0.21358710527420044
1510685202.0027676,240 ,0.21219870448112488
1510685211.2049544,245 ,0.20993734896183014
1510685214.8831103,247 ,0.20904430747032166
1510685218.5599482,249 ,0.20815786719322205
1510685220.39276  ,250 ,0.20771747827529907
1510685229.6034777,255 ,0.20553803443908691
1510685235.1323695,258 ,0.20426034927368164
1510685236.9670367,259 ,0.20383508503437042
1510685238.7992   ,260 ,0.20341257750988007
1510685240.6378415,261 ,0.20299352705478668
1510685244.236833 ,263 ,0.20215678215026855
1510685251.4138355,267 ,0.2004990428686142
1510685255.0153737,269 ,0.1996764987707138
1510685258.694199 ,271 ,0.19886009395122528
1510685262.3897786,273 ,0.1980542689561844
1510685271.601901 ,278 ,0.19605770707130432
1510685275.2779608,280 ,0.19527114927768707
1510685282.6380382,284 ,0.19370704889297485
1510685291.8221653,289 ,0.19178903102874756
1510685295.4957879,291 ,0.19103136658668518
1510685297.3430548,292 ,0.19065511226654053
1510685302.8648734,295 ,0.18953444063663483
1510685306.5414739,297 ,0.18879222869873047
1510685308.375853 ,298 ,0.1884254366159439
1510685310.2243001,299 ,0.18806317448616028
1510685313.9033728,301 ,0.187339648604393
1510685315.745277 ,302 ,0.1869790256023407
1510685317.5815685,303 ,0.18661916255950928
1510685324.9410958,307 ,0.18519072234630585
1510685326.7937617,308 ,0.1848357617855072
1510685330.4765835,310 ,0.18412244319915771
1510685335.9986994,313 ,0.18306192755699158
1510685343.3646328,317 ,0.18166548013687134
1510685345.199911 ,318 ,0.18131887912750244
1510685347.0410092,319 ,0.18097184598445892
1510685348.875776 ,320 ,0.18062642216682434
1510685352.5634828,322 ,0.17993555963039398
1510685358.0887   ,325 ,0.1789138913154602
1510685359.9332674,326 ,0.17857609689235687
1510685361.772814 ,327 ,0.17824207246303558
1510685367.2875633,330 ,0.17723822593688965
1510685369.1215146,331 ,0.17690549790859222
1510685372.8085384,333 ,0.1762455850839615
1510685383.780857 ,339 ,0.17428869009017944
1510685387.3781185,341 ,0.1736486703157425
1510685392.7879925,344 ,0.17269575595855713
1510685394.602852 ,345 ,0.17238162457942963
1510685398.2173026,347 ,0.1717558056116104
1510685400.020865 ,348 ,0.17144401371479034
1510685409.0451736,353 ,0.16991184651851654
1510685410.8626826,354 ,0.1696101874113083
1510685414.481941 ,356 ,0.1690065860748291
1510685418.1410007,358 ,0.16840620338916779
1510685419.9847593,359 ,0.16810809075832367
1510685421.8303025,360 ,0.16781021654605865
1510685427.335191 ,363 ,0.16692063212394714
1510685429.1744034,364 ,0.1666242480278015
1510685434.6860073,367 ,0.16573640704154968
1510685436.5247521,368 ,0.16544465720653534
1510685440.183997 ,370 ,0.16486337780952454
1510685441.9839232,371 ,0.164574533700943
1510685445.5908816,373 ,0.16399997472763062
1510685452.824023 ,377 ,0.1628635674715042
1510685454.6255202,378 ,0.16258101165294647
1510685456.4354146,379 ,0.1622990518808365
1510685460.079344 ,381 ,0.16173908114433289
1510685461.9086115,382 ,0.1614588350057602
1510685467.4057038,385 ,0.1606266349554062
1510685469.2021992,386 ,0.16034826636314392
1510685471.031697 ,387 ,0.16007044911384583
1510685472.8690772,388 ,0.15979479253292084
1510685476.495293 ,390 ,0.1592492163181305
1510685478.3382897,391 ,0.1589779108762741
1510685480.1912768,392 ,0.15871073305606842
1510685482.029925 ,393 ,0.1584407538175583
1510685498.3960476,402 ,0.15603755414485931
1510685500.2066767,403 ,0.1557777225971222
1510685503.8070037,405 ,0.15526102483272552
1510685509.2214932,408 ,0.15448832511901855
1510685521.8883743,415 ,0.15271149575710297
1510685523.6947641,416 ,0.15245795249938965
1510685530.9470456,420 ,0.15145951509475708
1510685532.7437081,421 ,0.15121135115623474
1510685534.532985 ,422 ,0.1509638875722885
